Jahr,Bevölkerung,BIP pro Kopf,Inflationsrate
1980,6335243,32163.32,4.0
1981,6372904,34292.34,6.5
1982,6409713,36116.28,5.7
1983,6427833,37122.79,2.9
1984,6455896,39535.94,2.9
1985,6484834,41738.30,3.4
1986,6523413,43540.14,0.8
1987,6566799,44886.05,1.4
1988,6619973,47275.56,1.9
1989,6673850,50637.84,3.2
1990,6750693,54766.83,5.4
1991,6842768,56459.71,5.9
1992,6907959,57057.36,4.0
1993,6968570,57740.06,3.3
1994,7019019,58559.21,0.9
1995,7062354,58802.08,1.8
1996,7081346,58953.01,0.8
1997,7096465,59832.44,0.5
1998,7123537,61354.43,0.0
1999,7164444,62063.31,0.8
2000,7204055,65047.12,1.6
2001,7255653,66429.52,1.0
2002,7313853,65734.21,0.6
2003,7364148,65999.87,0.6
2004,7415102,67523.35,0.8
2005,7459128,69610.07,1.2
2006,7508739,73582.89,1.1
2007,7593494,77627.01,0.7
2008,7701856,79999.84,2.4
2009,7785806,77565.90,-0.5
2010,7864012,79502.43,0.7
2011,7954662,80347.16,0.2
2012,8039060,80487.28,-0.7
2013,8139631,80922.70,-0.2
2014,8237666,81285.50,0.0
2015,8327126,80653.76,-1.1
2016,8419550,80953.18,-0.4
2017,8484130,80995.20,0.5
2018,8544527,83332.65,0.9
2019,8606033,83598.27,0.4
2020,8670300,80644.42,-0.7
2021,8738791,85395.64,0.6
2022,8815385,88717.09,2.8
